"","","cIfeQ515","t2lzh918","5KTmnC80","8bWxTQTP","MrF79raA","I94q8zpE","vqHfQURj","IEugXXTw","B89","0U9","aMQ","IES","EM3","DYP","r5M","4zB","unU","wfm","nEo","xov","24a"
"ID","Name","Author Firstname","Author Surname","ISBN","Image URL Large","Image URL Thumb","Number of Pages","Soundcloud Track ID","Synopsis","Easy to Read_Challenging","Fantasy_Reality","Funny_Serious","Historical_Futuristic","Less Action_More Action","Australian","Has audio review","Long","Medium","Series","Series lead","Short","VPRC"
"HzduD4Q7","The Shrinking Race (Space Scout)","H.","Badger","9781921564864","","http://cdn.bookfish.net.au/covers/9781921564864/small.jpg","96","","It's the year 3054, and Earth is over-populated and quickly running out of resources. The human race needs to move to a new planet, and it's up to the Space Scouts to find one before it's too late. Twelve-year-old Kip Kirby is Earth's youngest ever Space Scout. When he's not playing Particleball or riding his rocketboard, he's on scouting missions. He and his half-wolf, half-human co-pilot, Finbar, travel the universe in the MoNa 4000, their spaceship whose personality is stuck on the 'Grumpy Babysitter' setting. In each mission the threesome investigates a new planet. There are surprises in store around every corner. Will Kip be the Space Scout to find the new Earth and save humanity? The Big Sneeze: With bonus gift with purchase! Twelve-year-old Kip Kirby is going on his first space scout mission! But how fun will his mission be if his spaceship is acting like a grumpy babysitter? Gift With Purchase To immerse yourself fully in the world of 3054, make sure you don't miss out on your limited edition replica Space Cuff. Made of resilient space age material, the cuff allows you to project images - just like Kip's holograms! The Space Cuff will be shrink-wrapped onto The Big Freeze, leaving the other three titles free to be flicked through (which is important for the customers to appreciate the awesome illustrations and text design). The Space Cuff has replaceable batteries for a long life, and is a fully branded Space Scout limited edition gift. These will only be available on the first print run Book 1: The Big Freeze, so stock up to avoid disappointment!","8","16","9","17","13","1","0","0","1","1","0","0","1"
"IBQXUKc1","The Siege of Macindaw","John","Flanagan","174166134X","","http://cdn.bookfish.net.au/covers/174166134X/small.jpg","331","","In a desolate northern fief, where can Will find the fighting men he needs to overcome the traitorous Sir Keren and his band of criminals? Across the border, the fierce Scotti tribesmen are waiting for the signal that Castle Macindaw is in friendly hands, and the way is clear to mount a full-scale attack. Time is running out. Will's courage and ingenuity - and the arrival of an old friend - may be the only things that stand in their way.

","19","3","14","9","18","1","0","1","0","1","0","0","1"
"vXTSUz0E","The Silver Chair","C.","S. Lewis","000711558X","","http://cdn.bookfish.net.au/covers/000711558X/small.jpg","265","","We've got to go north, said Edmund, and reach the ruins of a giant city. Prince Rilian, Caspian's beloved son, has mysteriously disappeared, and Jill and Eustace are brought into Narnia by Aslan, the great Lion, to find him. But an evil enchantress has dire plans for the prince, and for Narnia This is the sixth adventure in the exciting Chronicles of Narnia.

","14","4","19","9","14","0","0","1","0","1","0","0","1"
"ZZbBGdeK","The Silver Door","Holly","Lisle","9780545000147","","http://cdn.bookfish.net.au/covers/9780545000147/small.jpg","368","","In the powerful, lyrical follow-up to THE RUBY KEY, Genna must master her new powers and summon an ancient magic to save her people in the fight for their freedom.  

   

   

 In the battle between nightlings and humans, it's prophesied that the Sunrider is destined to unite the magics of the sun and moon for the good of all. She alone can lead the fight to defeat an immortal evil.  

   

   

 Genna is the chosen Sunrider, and under nightling protection, she must learn the acient magics so she may bring an end to the war between slaves and masters. When she escapes a brutal plot concoted by the evil kai lords, Genna finds herself cast into the depths of the Sun Wizards' world.","16","2","13","10","14","0","0","1","0","0","0","0","0"
"anJ42tZ5","The Silver Nut Tree","Eleanor","Coombe; Andrew Smith (Illustrator)","9780734410535","","http://cdn.bookfish.net.au/covers/9780734410535/small.jpg","86","","Astara, Eden, Puck and Blaize have been captured by the Siduri, greedy silver-faced women who live in the Dark Forest and capture prisoners in spider-like webs in the mists behind the Cataract River. They mesmerise their prisoners by making them eat enticing silver nuts, and force them to sew silver moondust into their clothes, and to sew nets to capture the moon. To make matters worse, Garton the Ghastly teams up with the Siduri, and strengthens their spells by using the stolen Plant Spell Book to enslave even more fairies who he wants to capture once and for all and eat for dinner. However, with the help of Goodewin s magical crystal ball and the pisky s glamour spell, Cedar works out a very clever way to awaken her friends from their trance in the mists, finally recover the Plant Spell Book, and to stop the Siduri from making the moon disappear altogether.

","8","5","12","10","12","0","0","0","1","0","0","0","0"
"9odgBLUF","The Simpsons Guide to Springfield","Matt","Groening","9780060952822","","http://cdn.bookfish.net.au/covers/9780060952822/small.jpg","132","","Springfield... Home of the Isotopes, Springfield A&M, and Blinkey, the world's first three-eyed fish! Birthplace of the Flaming Moe! The site of Krustylu Studios, the awe-inspiring Springfield Gorge, and a world-renowned box factory! O Springfield! What many wonders you offer up for our consumption! Yes, we've all heard of Springfield called the country's ""worst city"" and ""America's crudbucket."" But is it all that bad? Well, maybe yes and maybe no--you be the judge! This handy, indispensable guide shows you where to go, what to do, and what to see in Springfield--and what shots to get before you visit. Along the way, you'll explore the culture, foods, and beliefs of everyday people and, in essays, photos, and sidebars, peer into the very soul of this dysfunctional, dynamic city! From the smoky majesty of the Springfield Tire Yard the crunchy, oily goddess of The Frying Dutchman seafood restaurant, from the swanky shopping of the South Street Squidport to nut-watching opportunities at the Bloodbath and Beyond Gun Shop, this is the guide for everyone planning a trip to the city that Springfield resident Marge Simpson calls, ""a part of us all.""

","6","12","4","10","8","0","0","0","1","0","0","0","0"
"Zdza6KbY","The Simpsons Holiday Humdinger","Matt","Groening","9780007191703","","http://cdn.bookfish.net.au/covers/9780007191703/small.jpg","0","","'Simpsons' creator Matt Groening presents an all-new collection of Christmas curiosities and winter wonders that will warm your heart and tickle your fancy.","6","12","4","10","7","0","0","0","0","1","0","0","0"
"lVC3cnFu","The Simpsons One Step Beyond Forever: A Complete Guide to Our Favorite Family...Continued Yet Again","Matt","Groening","9780060817541","","http://cdn.bookfish.net.au/covers/9780060817541/small.jpg","128","","Filled with fun facts, quirky quotes, and memorable moments, The Simpsons One Step Beyond Forever: A Complete Guide to Our Favorite Family (Seasons 13 and 14) guarantees a gaggle of giggles and guffaws for the most devoted fan or even the occasional viewer of the world's most popular animated show, The Simpsons.



 

 



Join Matt Groening for the next instalment of the The Simpsons: A Complete Guide to Our Favorite Family. Picking up where New York Times bestseller, The Simpsons Beyond Forever, left off, this new volume will tell you everything thing you want to know - and more than you think you know - about The Simpsons' 13th and 14th seasons. Complete with plot synopses, quotes, new characters, stuff you might have missed, along with addendums to all the lists from the first three volumes, this new guide offers an exhaustingly funny look at The Simpsons for the most detail-oriented fan, the casual viewer, and everyone in between.","6","12","4","10","8","0","0","0","1","1","0","0","0"
"xnAY01Tt","The Simpsons Treehouse of Horror Dead Man&#039;s Jest","Matt","Groening","9780061571350","","http://cdn.bookfish.net.au/covers/9780061571350/small.jpg","0","","Presents a series of Halloween and horror-themed Simpsons tales involving the monsters of rock, bible camp ghosts, vampire tombs, and a tribute to EC Comics.","6","12","2","10","8","0","0","0","0","1","0","0","0"
"fx8bgOgy","The Simpsons Treehouse of Horror Hoodoo Voodoo Brouhaha","Matt","Groening","9780061148729","","http://cdn.bookfish.net.au/covers/9780061148729/small.jpg","0","","A collection of Halloween tales from the Simpsons, including possessed cereal boxes, haunted hospitals, an encounter with the Fellowship of the Rings, and an A-Z of lurid limericks.","6","12","4","10","8","0","0","0","0","1","0","0","0"
"YINicTCS","The Simpsons: Homer for the Holidays","Matt","Groening","9780061876738","","http://cdn.bookfish.net.au/covers/9780061876738/small.jpg","144","","?Tis the season for a holly jolly jubilee of winter wonderment from Matt Groening, the naughty but nice creator of ?The Simpsons.? Join in the frosty fun and prepare to be wassailed with letters to Santa, hot cider, Christmas angels, Hanukkah gifts, New Year?s resolutions, one-eyed snowmen, snowboarder lingo, red-nosed rein-dogs, ill-conceived Christmas specials, and half-baked holiday hibernation diets. ","6","12","4","10","8","0","0","0","0","1","0","0","0"
"j14v28zB","The Singing Ape","Justin","D`Ath","9780143307273","","http://cdn.bookfish.net.au/covers/9780143307273/small.jpg","168","","Colt Lawless is on the run, suddenly famous, and more than a little superhuman. But can he save the last animals on earth?Caruso, the singing gibbon, has been sneaking out of his cage at night, and Colt thinks he knows why. Ever since he joined the Lost World Circus, he's been able to do all kinds of impossible things. He can understand animals, pick up an elephant and catch a helicopter. But is Colt strong enough to face what happens when he tries to set Caruso free once and for all?An electrifying new series from Justin D'Ath, author of the bestselling Extreme Adventures.","12","9","17","11","20","0","0","1","0","1","0","0","1"
"xwSzFB4J","The Sister of the South","Emily","Rodda; Kate Rowe (Illustrator)","1865046167","","http://cdn.bookfish.net.au/covers/1865046167/small.jpg","192","","The exciting conclusion to Deltora Quest 3. Only the magic of Deltora's last seven dragons, combined with the magic of the gems of the Belt of Deltora, can destroy the evil sisters and stop the Shadow Lord's triumphant return. Spectacular 3-D cover!","13","1","16","10","16","0","0","1","0","1","0","0","1"
"m5jPECdP","The Skeleton Coast","Mardi ","McConnochie","9781760290931","http://cdn.bookfish.net.au/covers/9781760290931/default.jpg","http://cdn.bookfish.net.au/covers/9781760290931/small.jpg","306","","Annalie and Will's father, Spinner, is still on the run from the Admiralty. With their friends, Essie and Pod, and the talking parrot, Graham, their journey has taken them through dangerous waters, ferocious storms and marooned on abandoned islands.  ","20","7","15","10","17","1","0","1","0","1","0","0","1"
"5DYFKU5f","The Smashing Saxons","Terry","Deary; Martin Brown","9781407104188","","http://cdn.bookfish.net.au/covers/9781407104188/small.jpg","144","","Readers can discover all the foul facts about the SMASHING SAXONS, including who got cow pats as Christmas presents, why wearing a pig on your head is lucky and how to make a dead Saxon happy. With a bold, accessible new look and a heap of extra-horrible bits, these bestselling titles are sure to be a huge hit with yet another generation of Terry Deary fans.

","11","18","8","3","12","0","0","0","1","0","0","0","1"
"JN3kZSq3","The Smurf King","Peyo","","9781597072250","","http://cdn.bookfish.net.au/covers/9781597072250/small.jpg","0","","An ambitious Smurf hopes to be put in charge of the Smurfs when Papa Smurf is away, and after a hard-fought campaign, he wins the election and is put in power, until there's a rebellion. Also, what happens when a Smurf hits a sour note?","6","9","5","10","11","0","0","0","0","1","0","0","0"
"38ARbIL3","The Smurfette","Peyo","","9781597072373","","http://cdn.bookfish.net.au/covers/9781597072373/small.jpg","0","","When a smurf finds a female smurf in the forest, he brings Smurfette back to the village, where things start to go horribly wrong.","6","9","5","10","11","0","0","0","0","1","0","0","0"
"1VkRh3p4","The Smurfs #10: The Return of the Smurfette","Peyo","","9781597072939","","http://cdn.bookfish.net.au/covers/9781597072939/small.jpg","0","","From building statues to baking cakes and even dressing up like the Smurfette to better understand her, nearly all of the Smurfs are in a frenzy competing for the love of the Smurfette.","6","9","5","10","8","0","0","0","0","0","0","0","0"
"NRz4X8zV","The Snow Pony","Alison","Lester","1864489308","","http://cdn.bookfish.net.au/covers/1864489308/small.jpg","240","","Only Dusty can ride the wild Snow Pony. And no one but Dusty will trust her... Three years of drought have reduced the Riley's farm to a dirt patch and strained the family to breaking point. A trip to the mountains to muster their cattle promises a fresh start, but sudden violence erupts into the peaceful landscape... Now Dusty and her beautiful brumby are tested as never before. From the author of the remarkable bestseller The Quicksand Pony 'Lester tells a gripping yarn, brimming with classic pictures...Dusty emerges as a true mountain girl with a new friend who can match her in courage.' Stella Lees, Australian Book Review

","14","18","20","10","8","1","0","1","0","0","0","0","1"
"Y2LJ2du1","The Son of Neptune","Rick","Riordan","9780141335728","","http://cdn.bookfish.net.au/covers/9780141335728/small.jpg","522","","Percy Jackson, son of Poseidon, God of the Sea, has woken from a very deep sleep and come face to face with two snake-haired ladies who refuse to die.But they're the least of his problems. Because Percy finds himself at a camp for half-bloods, which doesn't ring any bells for him. There's just one name he remembers from his past. Annabeth.Only one thing is certain - Percy's questing days aren't over. He and fellow demigods Frank and Hazel must face the most important quest of all: the Prophecy of Seven. If they fail, it's not just their camp at risk. Percy's old life, the gods and the entire world might be destroyed . . .ONE CURSED DEMIGOD.TWO NEW HEROES.A QUEST TO UNLEASH THE GOD OF DEATH . . .

","19","4","15","6","17","0","0","1","0","1","0","0","1"
"FYqVvRq4","The Splash Down (Go Girl! Difference)","Rowan","McAuley","9781921417856","","http://cdn.bookfish.net.au/covers/9781921417856/small.jpg","0","","It's the last day of the holiday program, and they're all off to the pool! But can Holly face her fear of the highest diving board - and of life after the program?

","7","15","12","10","9","1","0","0","0","1","0","0","1"
"5nINv3T6","The Spook's Nightmare","Joseph","Delaney","9780370329819","","http://cdn.bookfish.net.au/covers/9780370329819/small.jpg","416","","The Spook, Tom and Alice return from Greece to find the County under siege - and the Spook's home burnt to the ground. With his precious library of knowledge destroyed, they seek refuge on the nearby island of Mona. But with Mona in the thrall of a twisted Shaman there is little respite from hostility or denizens of the dark. And as Alice dodges the ever-tightening net of the island's witch hunters, a more deadly enemy emerges...



 

 



Bony Lizzie, freshly-escaped from the Spook's bonds, has grand ambitions: to take for herself the throne of isle. She has harnessed the services of a tunnel-dwelling buggane, an evil creature which thrives on stealing the animas, or life force, from its unsuspecting victims. With the buggane as her secret weapon can she become an all-powerful Witch Queen?

","20","2","16","10","17","0","0","1","0","1","1","0","1"
"FD2jF6rB","The Spotty Holiday","Sally.","Rippin","9781742970042","","http://cdn.bookfish.net.au/covers/9781742970042/small.jpg","47","","Billie is going on a plane to visit her grandma! They are going to do so many fun things together. Nothing can go wrong with this holiday...

","2","16","12","10","8","1","0","0","0","1","0","1","0"
"8SltE7bZ","The Star Pirates","Stephen","Cole","9781862301887","","http://cdn.bookfish.net.au/covers/9781862301887/small.jpg","144","","Captain Teggs is no ordinary dinosaur - he's an astrosaur! On the incredible spaceship DSS Sauropod, along with his faithful crew, Gypsy, Arx and Iggy, Teggs rights wrongs, fights evil and eats a lot of grass!



 

 



When several spaceships carrying valuable cargos go missing in the same part of space, the astrosaurs investigate - and when some of the treasures turn up on a carnivore world, it seems that meat-eaters are involved. Determined to find out what's happening, Teggs and his crew swap their amazing ship the Sauropod for an old banger that's a much softer target - and soon find themselves under attack from star pirates! These space-faring bandits are the scourge of the stars and are looting any ships they can find for the bounty. But what secret goal are the pirates working towards? Will Teggs find out before he is made to walk the plank, and his loyal crew end up as pieces of 'ate'...?

","10","8","8","10","12","0","0","0","1","0","0","0","0"
"8Ywb4Ixo","The Stone of Fire","Geronimo.","Stilton","9780545447744","","http://cdn.bookfish.net.au/covers/9780545447744/small.jpg","128","","This NEW Geronimo Stilton series spin-off is set in the Stone Age!  

   

   

 Who is Geronimo Stiltonoot?  

 He is a cavemouse -- Geronimo Stilton's ancient ancestor. He runs the stone newspaper in the prehistoric village of Old Mouse City. From dealing with dinosaurs to dodging meteorites, his life in the Stone Age is full of adventure!  

   

   

 THE STONE OF FIRE  

 Old Mouse City is in an uproar. The most precious artifact in the mouseum -- the Stone of Fire -- has been stolen! Geronimo Stiltonoot and his cavemouse friend Hercule Poirat are on the case. It's up to them to retrieve the stone from the ferocious Tiger Khan and his band of fearsome felines!","8","9","9","8","12","0","0","0","1","0","0","0","0"
"bi4MY6BY","The Summer Gang","Cornelia","Funke","9781904442868","","http://cdn.bookfish.net.au/covers/9781904442868/small.jpg","176","","It's the summer holidays, and Charlie forms a gang with best friends, Hannah, Izzie and Xa. They call themselves the C.H.I.X. after the first letters of their names. Together they promise to keep each other's secrets, and have the best adventures ever! Even when a bunch of boys puts their friendship to the test .

","12","20","12","10","5","0","0","1","0","1","1","0","1"
"RKfO6Hij","The Sweetheart Deal (Special Edition) (Candy Apple)","Holly","Kowitt","9780545100687","","http://cdn.bookfish.net.au/covers/9780545100687/small.jpg","0","","""Skyler Hanson is a fashion expert. So when snooty Madison Gillette challenges her to transform a Mathlete into a dream date before the Valentine's Day Dance, Skyler takes the bet. But nerdy Nathan Stillman is a handful. He does everything his own way, from wearing science googles to playing drums in a misfit rock band. The more Skyler tries to change him, the more he changes her. Can she make over the mathlete? Or will Skyler become a fashion victim?""--p.[4] of cover.","10","16","12","10","8","0","0","0","0","0","0","0","0"
"kzqWnkUd","The Tale of Angelino Brown","David ","Almond","9781406358070","http://cdn.bookfish.net.au/covers/9781406358070/default.jpg","http://cdn.bookfish.net.au/covers/9781406358070/small.jpg","265","","Bert and Betty Brown have got themselves a little angel. Bert found him in his top pocket when he was driving his bus. Bert and Betty's friends think he's lovely. So do Nancy and Jack and Alice from Class 5K. What a wonder! But Acting Head Teacher Mrs Mole is not so sure. Nor is Professor Smellie. Or the mysterious bloke in black who claims to be a School Inspector. Then there's Basher Malone - big, lumbering Basher Malone. He REALLY doesn't like Angelino. And it looks like he's out to get him.","9","20","10","10","10","0","0","1","0","0","0","0","1"
"dESCWUGW","The Tales of Beedle the Bard","J.","K. Rowling; Mary GrandPr_ (Illustrator)","9780747599876","","http://cdn.bookfish.net.au/covers/9780747599876/small.jpg","128","","'You've never heard of The Tales of Beedle the Bard?' said Ron incredulously. 'You're kidding, right?' (From Harry Potter and the Deathly Hallows) Bloomsbury, in association with the Children's High Level Group, is delighted to announce The Tales of Beedle the Bard, the first new book from J. K. Rowling since the publication of Harry Potter and the Deathly Hallows. The Tales of Beedle the Bard played a crucial role in assisting Harry, aided by his friends Ron and Hermione, to finally defeat Lord Voldemort. Fans will be thrilled to have this opportunity to read the tales in full. The tales are an exciting addition to the canon of Harry Potter and reveal the wonderful versatility of the author, as she tackles with relish the structure and varying tones of a classic fairy tale. There are five tales: 'The Tale of the Three Brothers', which is recounted in Deathly Hallows, plus 'The Fountain of Fair Fortune', 'The Warlock's Hairy Heart', 'The Wizard and the Hopping Pot', and 'Babbitty Rabbitty and her Cackling Stump'. Each has its own magical character and will bring delight, laughter and the thrill of mortal peril. Translated from the original runes by Hermione Granger, the tales are introduced and illustrated by J. K. Rowling. Also included are notes by Professor Albus Dumbledore, which appear by generous permission of the Hogwarts Headmasters' Archive. CHLG is a charity co-founded by J. K. Rowling and Emma Nicholson MEP and campaigns to protect and promote children's rights and make life better for vulnerable young people. The Children's High Level Group is a charity established under English law. Registered Charity Number: 1112575.","11","2","13","10","10","0","0","0","1","0","0","0","1"
"F758YezC","The Taming of the Shrew","Andrew","Matthews; Tony Ross (Illustrator)","9781408305058","","http://cdn.bookfish.net.au/covers/9781408305058/small.jpg","64","","Lovely Bianca has a queue of admirers anxious to marry her. But her older sister, Katharina, must get married first. Katharina has such a fiery temper she is known as 'the shrew', and no man is brave enough to propose. Can Petruchio tame her with his outrageous behaviour? With Notes on Shakespeare and the Globe Theatre and Love and Marriage in The Taming of the Shrew.

","15","14","12","9","5","0","0","0","0","1","0","1","0"
"UvaKgJdO","The Temple of the Ruby of Fire","Geronimo.","Stilton","9780439661638","","http://cdn.bookfish.net.au/covers/9780439661638/small.jpg","128","","Enter the world of Geronimo Stilton, where another funny adventure is always right around the corner. Each book is a fast-paced adventure with lively art and a unique format kids 7-10 will love.  

   

   

 It was my most thrilling adventure yet! My old friend Professor von Volt had discovered the location of the famous Ruby of Fire. And before I could let out a squeak of protest, my sister Thea had dragged me into race to be the first to find the legendary gem. The jewel was protected by thousands of ancient booby-traps -- a 'fraidy mouse's worst nightmare? Would I make it through with my fur?","8","8","9","10","15","0","0","0","1","1","0","0","1"
"TZdga7SI","The Terrible Tudors","Terry","Deary; Martin Brown (Illustrator); Neil Tonge","9780439944052","","http://cdn.bookfish.net.au/covers/9780439944052/small.jpg","144","","History with the nasty bits left in! 'The Terrible Tudors' gives you all the grizzly details of Tudor life for everyone - from cruel kings and queens, to poor peasants and common criminals. Read on to find some foul facts, horrendous beheadings, a mysterious murder, some curious quizzes and gruesome games. History has never been so horrible! With a bold new cover look and a heap of extra horrible bits at the back of the book, each best-selling title is sure to be a huge hit with yet another generation of Terry Deary fans.

","10","17","4","4","12","0","0","0","1","1","0","0","1"
"iQAhTpvB","The Three Pickled Herrings","Sally","Gardner","9781444003734","","http://cdn.bookfish.net.au/covers/9781444003734/small.jpg","64","","At the Wings & Co. Fairy Detective Agency, Emily Vole and her friends are beginning to worry. It's five months since their official opening and they still haven't had one case. Then local landowner Sir Walter Cross dies suddenly and mysteriously. The detectives suspect fairy meddling. And when Mr Rollo the tailor mysteriously loses everything and Pan Smith's wedding plans are ruined the night before her big day, they're convinced there must be magic at play. Now they have not one, but three pickled herrings to deal with! Can they solve the mystery of who is stealing people's luck before the meddling fairy goes too far?","9","5","8","10","11","0","0","0","0","1","0","1","1"
"TDPfkHLa","The Throne of Fire","Rick","Riordan","9780141335667","","http://cdn.bookfish.net.au/covers/9780141335667/small.jpg","554","","The griffin fixed its hungry eyes on Sadie ... 'Sadie,' I said, 'drop the scroll.' 'Hello? It's stuck to my hand!' she protested. 'And I'm on fire! Did I mention that?' The scroll seemed to have triggered every reservoir of Egyptian magic in the room. Walt and Jaz stood frozen in shock. I suppose I couldn't blame them. This was their first real monster. It took a step towards my sister. Ever since the gods of Ancient Egypt were unleashed on the modern world, Carter Kane and his sister, Sadie, have been in trouble. As descendants of the magical House of Life, they command certain powers. But now a terrifying enemy - Apophis, the giant snake of chaos - is rising. If Carter and Sadie don't destroy him, the world will end in five days time. And in order to battle the forces of chaos, they musty revive the sun god Ra - a feat no magician has ever achieved. First they must search the world for the three sections of the Book of Ra, then they have to learn how to chant the spells... Can the Kanes destroy Apophis before he swallows the sun and plunges the earth into darkness...forever?

","20","8","16","9","17","0","0","1","0","1","0","0","0"
"UpRHi3pH","The Time Paradox","Eoin","Colfer","9780141383347","","http://cdn.bookfish.net.au/covers/9780141383347/small.jpg","384","","Artemis Fowl is facing his deadliest enemy yet. Himself. Artemis is no stranger to trouble. In fact, he's a magnet for it. Man-eating trolls, armed and dangerous (not to mention high-tech) fairies, flame-throwing goblins - he's seen the lot. He had decided to forego criminal activity of the magical kind. However... Now his mother is gravely ill. Artemis Fowl must travel back through time to steal the cure from the clutches of the young criminal mastermind... Artemis Fowl. That's right. With fairy ally Captain Holly Short by his side, Artemis is going back in time to do battle with himself. Let the misadventure begin.

","16","7","14","10","15","0","0","1","0","1","0","0","1"
"Cj7x9ykI","The Titan's Curse","Rick","Riordan","9780141321264","","http://cdn.bookfish.net.au/covers/9780141321264/small.jpg","304","","The Titan's Curse: the third book in Rick Riordan's Percy Jackson series.The third book in the most exciting commercial fantasy adventure series since Artemis Fowl. Now in paperback with a thrilling new cover look.It's the last Friday before the winter holidays but Percy Jackson isn't at school: he's battling the fearsome Manticore (half human, half lion), which in itself isn't ideal . . . but with Annabeth missing and the goddess of the hunt held captive, things get a whole lot more serious . . .Greek mythology relocated to modern-day America. Action-packed, funny, accessible writing for both boys and girls aged 10+. Perfect for fans of Harry Potter and Artemis Fowl.Praise for the Percy Jackson series:'Witty and inspired. Gripping, touching and deliciously satirical...This is most likely to succeed Rowling. Puffin is on to a winner' - Amanda Craig, The Times'Puns, jokes and subtle wit, alongside a gripping storyline' - Telegraph'Perfectly paced, with electrifying moments chasing each other like heartbeats' - New York TimesRick Riordan is an award-winning mystery writer. For the past fifteen years he has taught at middle schools in the San Francisco Bay area and in Texas. Rick lives in San Antonio, Texas, with his wife and two sons. Percy Jackson and the Lightning Thief, the overall winner of the Red House Children's Book Award, was Rick's first novel featuring the heroic young demigod.The Percy Jackson series:The Lightning Thief; The Sea of Monsters; The Battle of the Labyrinth; The Titan's Curse; The Last Olympian Heroes of Olympus:The Lost Hero; The Son of Neptune; The Mark of AthenaThe Kane Chronicles:The Red Pyramid; The Throne of Fire; The Serpent's Shadow","18","7","16","9","16","0","0","1","0","1","0","0","1"
"Z3P4nkLJ","The Trouble with Sauce","Bruno","Bouchet","9780733325021","","http://cdn.bookfish.net.au/covers/9780733325021/small.jpg","192","","Jonty thinks he's attending a regular school, but he can't figure out why all his classmates are turning into well-behaved, brilliant students. When the perfect school turns into a perfect nightmare, no one is safe from the world's cleverest students. With two unlikely friends, Jonty sets about exposing the principal's dastardly plan, but will they just become part of his evil scheme too? It's a non-stop comedy adventure that makes you think -- how far would you go to be top of the class?

","11","12","5","10","10","1","0","1","0","0","0","0","0"
"D2wciHsl","The Truth about Verity Sparks","Susan","Green","9781921720277","","http://cdn.bookfish.net.au/covers/9781921720277/small.jpg","304","","Verity Sparks is good at finding lost things, but will she be able to uncover the truth about her own past? Verity Sparks is a thirteen-year-old orphan working as a milliner in Victorian London. But Verity is no ordinary girl - she has an almost perfect memory and possesses the talent of Teleagtivism. She can easily find things that are lost! When Verity is wrongly accused of theft and dismissed from her job, she goes to live with the Plushes - a slightly Bohemian family who run a Confidential Inquiry Agency. Verity helps them solve cases and slowly becomes one of the family. But patches of the truth about her past begin to surface, along with the special talent that Professor Plush is helping her explore. Who were her real parents? Is she the seventh daughter of a seventh daughter? Who is sending poison pen letters about Verity to the Plushes? Who doesn't want them to learn the truth about Verity Sparks? An adventure/mystery with a dash of the supernatural thrown in; The Truth About Verity Sparks is packed with chases through the dark alleys of London, sÈances in high-class dining rooms, pet pythons named Anthony and Cleopatra, murdered opera singers and much, much more.

","15","12","13","4","12","1","0","1","0","1","1","0","1"
"xH6ONXqf","The Twin Giants","Dick","King-Smith; Mini Grey (Illustrator)","9781406300703","","http://cdn.bookfish.net.au/covers/9781406300703/small.jpg","80","","Lottavim and Normus do everything together: waking up, going to sleep, even sneezing. So when they reach the age of 20 and the height of 12 feet, it's not surprising that they each think the same thought at exactly the same time - finding a wife. But how is it possible to find not one but two of the giantesses of your dreams?","6","5","9","8","3","0","0","0","1","0","0","0","0"
"7Zzcxotm","The Twits","Roald","Dahl","9780141346397","","http://cdn.bookfish.net.au/covers/9780141346397/small.jpg","112","tracks/162632138","''A true genius . . . Roald Dahl is my hero'' - David Walliams Phizz-whizzing new branding for the world's No.1 storyteller, Roald Dahl!Exciting, bold and instantly recognisable with Quentin Blake's inimitable artwork.Mr and Mrs Twit are extremely nasty, so the Muggle-Wump monkeys and the Roly-Poly bird hatch an ingenious plan to give them just the ghastly surprise they deserve!Roald Dahl, the best-loved of children's writers, was born in Wales of Norwegian parents. After school in England he went to work for Shell in Africa. He began to write after ""a monumental bash on the head"", sustained as an RAF pilot in World War II. Roald Dahl died in 1990.Quentin Blake is one of the best-known and best-loved children's illustrators and it's impossible now to think of Roald Dahl's writings without imagining Quentin Blake's illustrations.","9","12","4","10","9","0","1","0","1","0","0","0","1"
"spLFOMDo","The Two Gorillas","Ursula","Dubosarsky","014130796X","","http://cdn.bookfish.net.au/covers/014130796X/small.jpg","72","","Becky's two gorillas lived inside her doll's house. One was green and the other was red. They were very scary gorillas until Becky gave them their first bath.

","6","12","8","10","10","1","0","0","0","1","0","1","1"
"c0675ycT","The Ugly Truth","Jeff","Kinney","9780670074990","","http://cdn.bookfish.net.au/covers/9780670074990/small.jpg","228","","Greg Heffley has always been in a hurry to grow up.But is getting older really all it's cracked up to be?Greg suddenly finds himself dealing with the pressures of boy-girl parties, increased responsibilities, and even the awkward changes that come with getting older - all without his best friend, Rowley, at his side.Can Gregmake it through on his own?Or will he have to face the 'ugly truth'?'Diary of a Wimpy Kid is bent on world domination.'Time Magazine

","7","15","1","10","5","0","0","1","0","1","0","0","1"
"rGPuOV0X","The Undercover Files","H.","I. Larry","9781921759871","","http://cdn.bookfish.net.au/covers/9781921759871/small.jpg","192","","First, in Boot Camp, Zac's is off to a boot camp! Zac loves doing drills - he's always been top of the spy ladder. But then there's an emergency at the camp, and this time it's for real. Will Zac save the day ... or will he fail the biggest test of his spy career? Then, in Undercover, the GIB Headquarters has been infiltrated by a mole! A double agent - disguised as one of their own - plans to steal all of GIB's most valuable secrets. GIB call on Zac Power, their top spy, to flush out the mole. As Zac narrows down his list of suspects and closes in on his target, the trail leads Zac to the highest levels of his spy organisation - and the shocking discovery that the mole may be the head of GIB itself!

","10","14","15","10","20","0","0","1","0","1","1","0","1"
